id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
amh_train_track_a_00035,"Colonel Mengstu Haile Mariam, relying on his power, did not even tolerate the officials of his own government who arrested the majority of the poor people of Ethiopia in order to rob and exploit them. shout at me murderer; And even in the country where the barbaric EHageg government is chasing him and living in exile, he is right.",0,1,0,0,0,0
amh_train_track_a_00036,It hurts more than anything,0,0,0,0,1,0
amh_train_track_a_00037,"It&#39;s very sad, what kind of cruelty, don&#39;t take it, sister 😭😭😭💔",0,0,0,0,1,0
amh_train_track_a_00038,Our situation as a country is very scary. The attack on the Orthodox Church. The buying of buses. The theft. The corruption.,0,0,1,0,1,0
amh_train_track_a_00039,The head of the government of Oromia was killed by militants in West Welega zone,0,0,0,0,1,0
amh_train_track_a_00040,"It&#39;s your right to worship Minilik 2, but I don&#39;t understand why you admire a deaf man who sold Eritrea and Djibouti.",0,1,0,0,0,0
amh_train_track_a_00041,Diogo&#39;s father is relaxed,0,0,0,1,0,0
amh_train_track_a_00042,"Pro Silesh Shibru Oysama God has visited us with a thief, Shem, this world has known a robber and a thief. Watch the Al Jazeera documentary, don&#39;t drive blindly.",0,1,0,0,0,0
amh_train_track_a_00043,"Jawar says that it&#39;s a change room, but at the time of the change, hold me and let me go. Under the fire, he was saying that it was a sacrifice that he and Kero paid, but what he&#39;s talking about now is empty.",1,0,0,0,0,0
amh_train_track_a_00044,He is known not to say. You cannot be a threat to the Oromo people whether you are attacked or not. The Oromo people have great respect for their fellow Amhara people. Like you,1,0,0,0,0,0
amh_train_track_a_00045,"Who is Esther in Dane? Why do you hate Oromos because you are part Oromo? Although nothing is clearly known about Esther&#39;s career and career, I would like to make some points about her. Esther has changed her previous name to Dane and she is from Amhara and Oromo, so she is in an identity crisis. Because of this, she is a lady who has been given the nickname Dighala by other people. Amhara people of your father or your father",0,1,0,0,0,0
amh_train_track_a_00046,Everything we hear is horrible. May God give patience to the family,0,0,0,0,1,0
amh_train_track_a_00047,"They said that when Arada gets old, it will become a storehouse. Now, there are so many national issues. It is a shame to hear a great journalist of the country analyzing an old rumor. It is because cabbage is healthy.",1,0,0,0,1,0
amh_train_track_a_00048,Is the existence of the Amhara people dependent on Isaiah&#39;s good will?,1,0,0,0,0,0
amh_train_track_a_00049,What makes you cry if he doesn&#39;t get tired,0,0,0,0,0,0
amh_train_track_a_00050,It is surprising that there is only one marriage in the country,0,0,0,0,0,1
amh_train_track_a_00051,He is an evil friend who advised you that you can use your ignorance to live in America and lead terror freely.,1,1,0,0,0,0
amh_train_track_a_00052,"Instead of Etv, the Egyptian media says good things about Ethiopia. Now this journalist eats bread saying he came here because of work. The poor child entered by mistake and the country is in trouble.",1,1,0,0,0,0
amh_train_track_a_00053,"In Addis Ababa, an unexpected and shocking massacre has been restored.",0,0,1,0,0,0
amh_train_track_a_00054,"The so-called Amhara priests and clerks, narcissists, land-grabbing settlers, and pick-pocketing thugs are all told to beware of these individuals who are running the mafia.",0,1,0,0,0,0
amh_train_track_a_00055,"In fact, he is lucky to be alive. If he was killed, the people of Ethiopia would have peace",0,1,0,0,0,0
amh_train_track_a_00056,"Did you sentence Nate to death? He heard that Sahlework does not approve the death sentence, so just be Brezdant, will he make sense?",0,1,0,0,0,0
amh_train_track_a_00057,Victory to Greater Israel Death to Hamas and the clapper dogs know only howl Victory to Absit Israel,0,1,0,0,0,0
amh_train_track_a_00058,FYI creativity is neither black nor white. The Creator is Spirit.,0,0,0,0,0,0
amh_train_track_a_00059,"Answer! Be rewarded! Today, April 21, 2015, at 6:00 PM, wait for the prize-winning question on our bank&#39;s Telegram page only. Sun Bank Telegram page",0,0,0,0,0,0
amh_train_track_a_00060,"When I found out that love has legs, Denise went to the police station",0,0,0,0,0,0
amh_train_track_a_00061,"Family cruelty has never been this much, mother and father, in the nature of creator Hamsal, this kind of corner of evil.",0,0,0,0,1,0
amh_train_track_a_00062,"Victory and glory to the mighty nation of Israel, may the advanced minded Zionists always be exalted. Shame and death to all those who wish for its destruction.",1,0,0,0,0,0
amh_train_track_a_00063,Former South African President Jacob Zuma founded a new party,0,0,0,0,0,0
amh_train_track_a_00064,What should we do when we see a &#39;post&#39; on Facebook suggesting that people may kill themselves?,0,0,0,0,0,0
amh_train_track_a_00065,"The wonderful leader that God has given to Ethiopia is still a creator, give you understanding and wisdom, and the God you trust will help you and Ethiopia will prosper.",0,0,0,1,0,0
amh_train_track_a_00066,"Tiborne chatam, the rich man, wash your mouth, you slime thief, wash your lips.",0,1,0,0,0,0
amh_train_track_a_00067,"Be beautiful, don&#39;t let your appearance make you hate me. 😳😳😳",0,1,0,0,0,0
amh_train_track_a_00068,"I mean, the truth is that they grew up apart. But how long will the girl beg for?",0,0,0,0,1,0
amh_train_track_a_00069,"No, there is nothing sadder than seeing a person you respected go down. It&#39;s a shame that they are so messed up. Yesterday, people who stood up for Ethiopia with dignity, stood up and determined to deliver Ethiopia.",0,0,0,0,1,0
amh_train_track_a_00070,"Ethiopia&#39;s problems are all racism, religion, politics, prejudice, and only me. When will citizenship be denied?",0,0,0,0,0,0
amh_train_track_a_00071,The disease in the neighborhood below is amazing. How can people get angry because they have made peace with the people? How do they think? I tell you the truth.,0,0,0,0,1,1
amh_train_track_a_00072,A campaign started by a young woman who could not find a spouse due to dowry,0,0,0,0,0,0
amh_train_track_a_00073,"If he thinks that it is better for the country just because the Tigris was replaced by Oromo tribes without changing the heavy weight system, he is either a racist or an ignorant person. People with no money are being openly held hostage. Many people say that politics has been swept away from the government house He hunted destruction",1,0,0,0,0,0
amh_train_track_a_00074,"Amen, may God&#39;s blessing and Redeat be with our country and our people, have a good day",0,0,0,1,0,0
amh_train_track_a_00075,"? All of a sudden, the places that have been merged into Amhara",0,0,0,0,0,1
amh_train_track_a_00076,It is not surprising that only 3 out of the students who are used to being scolded for not singing the song &quot;Hundred Years Stain&quot; passed. Public Father! AmharaRevolution,1,0,0,0,0,0
amh_train_track_a_00077,The new iPhone 15 with &#39;Type C&#39; charger was launched starting from 70 thousand birr,0,0,0,0,0,0
amh_train_track_a_00078,"Zerubabel, it is impossible not to admire you. You are a child who is growing from your daily skills. Keep it up, the attention you give to your events is pleasing. My honor, I am always grateful to Amigo and Ohad, whom I always admire.",0,0,0,1,0,0
amh_train_track_a_00079,This is your pride. What did you do for the development of this country when you ruled the North for ages?,1,1,0,0,0,0
amh_train_track_a_00080,"The words that mothers pray to, may the bomb eat me, but my leader Danwey, the young man who rang the bomb and was left crippled, believed in the words that our people believed in.",1,0,0,0,1,0
amh_train_track_a_00081,"Amara, Gedyo, Gurage, Kore, etc. Wait, how long will we get relief from the oppression of Oromuma?",1,1,0,0,0,0
amh_train_track_a_00082,"&quot;Thus says the Lord God; &#39;Because the Philistines were motivated enough and grew up with an evil heart, and they wanted to destroy Judah with continued enmity; Thus says the Lord God; “I will lift up my arm against the Philistines; And I will cut off the Lythians; And I will destroy those who are left on the shores of the sea. I will avenge them with great vengeance; And I will punish them in my day.&quot; And when I avenge them, they will know that I am God.&#39; Ezekiel 25:15-17",0,0,0,0,0,0
amh_train_track_a_00083,"HAPPY NEW YEAR, please interview Jalmaron.",0,0,0,1,0,0
amh_train_track_a_00084,"Muslim countries are responsible for their destruction, those who watch silently and do nothing except to explain why they don&#39;t attack Israel.",1,0,0,0,1,0
amh_train_track_a_00085,"When the harvest season speech that Blessegna gave on the side of the father made me laugh, he said, &quot;Pray for the peace of Sudan so that the land that was taken from us by the so-called government in Sudan can be returned to us.&quot;",1,0,0,0,0,0
amh_train_track_a_00086,You can&#39;t destroy the truth with bigotry. The world will remember that you are the pride of all black people. Your sense of inferiority is a hero.,1,1,0,0,0,0
amh_train_track_a_00087,The sovereignty of the human country is not a security threat.,1,0,0,0,0,0
amh_train_track_a_00088,"The first crime committed by Hamas was the massacre of innocent people. If Israel was in South Africa, it would be painful. So what happens if you put something on a person&#39;s wound?",0,1,0,0,1,0
amh_train_track_a_00089,"It&#39;s nice, but if it&#39;s for politics, the problem is",0,0,0,1,0,0
amh_train_track_a_00090,"It is because there is an obsession with not respecting our own experts in all foreign countries, but the money is better if we sell shares to the people like the dam and spend it with our own professionals. There is a lot of swindling and cheating.",1,0,0,0,0,0
amh_train_track_a_00091,"Oh, my sky, I&#39;m not sure what you&#39;re doing",0,0,0,0,0,0
amh_train_track_a_00092,(Gospel of Mark 13:337) Be careful because you do not know when the time will be. Be diligent. And pray. So be diligent lest he come suddenly and find you sleeping. Be diligent,0,0,0,0,0,0
amh_train_track_a_00093,"It is not better to avoid the pain of bribery in order to invest. The officials of the Planning Commission, the Directorate of Land Management, the officials of the directorate are telling us to open an account in America and deposit it there.",1,0,0,0,0,0
amh_train_track_a_00094,"Abiy Ahmed&#39;s government organized a party saying, &quot;Enough of the war, let&#39;s strengthen the peace.&quot; In the second week, the army attacked the Amhara and started a war. A government that cannot live without a crisis",0,1,0,0,0,0
amh_train_track_a_00095,"BBC Amharic international report, have morals to condemn terrorists. Don&#39;t be afraid, if a terrorist came from your house and kidnapped your family, how would you feel if you woke up while you were sleeping with rockets? He is a Palestinian terrorist who receives water and electricity from Israel.",1,0,0,0,0,0
amh_train_track_a_00096,"How many cows should we raise this year, father! How and why does the war of ideas benefit the TPLF? Do you look like the heart of Shabia?",1,1,0,0,0,0
amh_train_track_a_00097,Who is the mourner wearing black?,0,0,0,0,1,0
amh_train_track_a_00098,This is a group of devil&#39;s disciples who drink the blood of cannibals,0,1,0,0,0,0
amh_train_track_a_00099,"Wait, wait, Mana, I think you will see the comment. If you know that the child is naughty, then we will listen to you. What does it mean to say that the help should continue?",1,0,0,0,0,0
amh_train_track_a_00100,"It means that when he protects the innocent, when death knocks on his own house, his heart is broken.",0,1,0,0,0,0
amh_train_track_a_00101,"You are talking about who caused the death, the fire they lit will burn the Ethiopians where they are, have you shown them that you are a friend of the junta, and I, Abi?",1,1,0,0,0,0
amh_train_track_a_00102,It&#39;s strange that you&#39;re not hungry.,1,1,0,0,0,0
amh_train_track_a_00103,"Who knows? He is an amazing leader. Because he came 1 level higher than his era, our thinking could not be balanced. Maybe we should help him at some point.",0,0,0,1,0,0
amh_train_track_a_00104,"How cruel she is, people are running out",1,1,0,0,0,0
amh_train_track_a_00105,The famous cartoonist Netanyahu was fired from his job because of his cartoon on Gaza,0,0,0,0,0,0
amh_train_track_a_00106,"May the Lord help you, my brother, the enemy says a lot, talks a lot, may the Lord you worship be with you, Jesus is the Lord",0,0,0,1,1,0
amh_train_track_a_00107,?I will not be silent about the Church.,1,0,0,0,0,0
amh_train_track_a_00108,"Happy birthday, take care of yourself, you fat little one",0,0,0,1,0,0
amh_train_track_a_00109,EBC changed from a public media to a political party media. If you could tell us the meaning of the main flag!!!😄😄😄,0,1,0,0,0,0
amh_train_track_a_00110,"I blamed the old man, my mouth has no bridle, this year&#39;s worse limbless, this year&#39;s hearing is worse, what we see is worse",0,0,0,0,1,0
amh_train_track_a_00111,"A criminal, he told us that the loss of peace in this day and age has become something to fill the bellies of the journalists. Why are you talking about it? If you don&#39;t shoot it and destroy it, keep silent and spread rumors. It&#39;s better to stay away from the Quran than to talk about this nonsense. Are you carrying destructive weapons? Palestinian citizens are ending up like Gaza. We do not say that we are observed My heart is wounded by the death of the Palestinian people",1,1,0,0,1,0
amh_train_track_a_00112,It is really sad. How long will we be Abel and Kyle? May God help us through this difficult time,0,0,0,0,1,0
amh_train_track_a_00113,Geta Woy Edaz Togadu Men Bidders Asmar Uuuuffff Painful ach problem. The crocodile is beautiful and the eyes of the mother are on the dream,0,0,0,0,1,0
amh_train_track_a_00114,"Did I insult you, my sister, I&#39;m sorry? I know that it is politics of the region, but I don&#39;t think it is a problem to write only the death of the people",0,1,0,0,0,0
amh_train_track_a_00115,"If this disease called love infects my husband, but if I tell him to get it from me alone, I pray, my husband, that you will get the disease of love from me alone, say Amen.",0,0,0,0,0,0
amh_train_track_a_00116,When will the government of Ethiopia learn to acknowledge the war it waged against the people of Wagen?,1,0,0,0,0,0
amh_train_track_a_00117,The introduction of yesterday&#39;s Christian parliamentary question works for all you greedy cadres. Do not betray the truth by ethnicity.,1,1,0,0,0,0
amh_train_track_a_00118,"In a peaceful city, it is clear who all this commotion and weapons are meant to scare. Our terror tells us more than what you do.",1,0,1,0,0,0
amh_train_track_a_00119,"I have a question for the fathers, holy people, please ask me this question. In which government period, the priests, teachers, the journalists who were chosen to teach them, the journalists who were chosen to ask them, prepare a question and answer the question that was written by the government. G",1,0,0,0,1,0
amh_train_track_a_00120,"I&#39;m really surprised, what&#39;s wrong with her?",0,0,0,0,0,1
amh_train_track_a_00121,"The woman&#39;s shade is wonderful, we expect great results Rita",0,0,0,1,0,0
amh_train_track_a_00122,"Fascism and Nazism ultimately humiliated and consumed Germany and the Germans! The Oromo Nationalist, who is filled with hatred and hunger, will bring suffering to Oromia in his final fall.",1,1,0,0,0,0
amh_train_track_a_00123,Where have they been? They have been sleeping for 23 years. What is there now? Tell the USAEu liars who say they will execute the border inspector.,1,0,0,0,0,0
amh_train_track_a_00124,It would have been better if he had not criticized Yoni Magna for saying that he would change his religion.,0,1,0,0,0,0
amh_train_track_a_00125,"O Amhara people who live all over the world, if the country that was built by the blood of our fathers, mothers and women, becomes a country of suffering and slaughter for the Amhara people.",1,0,0,0,1,0
amh_train_track_a_00126,"Out of 86 nationalities, my religion, my language, my nation, my identity, my only idea is the first, who is the main one who fights with the regions and the government and destroys his own people.",1,0,0,0,0,0
amh_train_track_a_00127,"The people of the Amhara region, which was condemned to war, are the latest memories of the adventure of saving Ethiopia during the TPLF war.",0,0,0,0,1,0
amh_train_track_a_00128,"Repent, you open your mouth to talk about fathers.",1,0,0,0,0,0
amh_train_track_a_00129,Those who hate will inherit. I am afraid that this Juhar will shake up the elites as the Prime Minister and end millions with a heart attack.,0,1,1,0,0,0
amh_train_track_a_00130,"Leadership matters is true. At that time, it seems that the leaders who were self-sacrificing in their efforts to prevent the war from happening today are not ready to learn to weigh the results. A leader, a leader who would not regret not doing so, a war that he could have avoided by his generosity, even his friends falling at their feet.",0,0,0,0,0,0
amh_train_track_a_00131,"At that terrible time when our leaders of the Majlis reached the point of joining forces with their supporters due to differences in interests and doctrines, the wise boy, the wise father, who mastered the art of reconciliation from Allah.",0,0,0,1,0,0
amh_train_track_a_00132,"You are dirty people, the government is not saying that Sigel is dead",1,1,0,0,0,0
amh_train_track_a_00133,Ethiopia&#39;s position is death and destruction for the Jews,0,1,0,0,0,0
amh_train_track_a_00134,"When my father, the junta, sent his children abroad to teach and graduate, an Ethiopian who was not biased was forced to march and lose his body.",0,1,0,0,0,0
amh_train_track_a_00135,&#39;Leave me to live!&#39;. . . Citizens&#39; threat to provide information and the challenge of the media,0,0,0,0,1,0
amh_train_track_a_00136,"My wise teacher, when they were running, they were suddenly cut off without thinking. Where should they run?",0,1,0,0,0,0
amh_train_track_a_00137,"it is like pp cadres nothing new, it is a shame to not criticize the leadership of the country because it is the Oromo government.",1,1,0,0,0,0
amh_train_track_a_00138,"If I see a diamond and see a diamond, suddenly the third diamond comes",0,0,0,0,0,0
amh_train_track_a_00139,"No, our problem is whether the whole world is war or not. We see peace and love in abundance. War is not heard anywhere else in every country.",0,0,0,0,1,0
amh_train_track_a_00140,I am the 67th one,0,0,0,1,0,0
amh_train_track_a_00141,"As a hospital, we are less recognized. You know the same doctor, so I won&#39;t explain it here, but there was a complaint about the selection of awardees, for example, everyone said that.",0,0,0,0,1,0
amh_train_track_a_00142,"Evil, deceit, destruction, all the work of darkness, no matter how high and recognized it is, will not overcome the hidden, buried truth. They raised you from here",1,0,0,0,0,0
amh_train_track_a_00143,"Tk Love War is destructive. There is nothing good about war, but when things are too much, it is human nature to stand by the side of the aggressors.",0,0,0,0,1,0
amh_train_track_a_00144,"So, what&#39;s the point of talking here?",1,0,0,0,0,0
amh_train_track_a_00145,"Russia threatened that the West would face a worse threat if they provided Ukraine with F16 fighter jets, and the United States and its allies decided to provide F16 training to Ukrainian pilots.",0,0,0,0,0,0
amh_train_track_a_00146,"Oh Benjamin, you are a mercenary, your pastor is a shame",1,1,0,0,0,0
amh_train_track_a_00147,Coffee is known to be the gift that the worst people get. But who made a culture with the name Abol Tona Bereka.,0,0,0,0,0,0
amh_train_track_a_00148,It would be nice if the world was a journalist like before. It would be nice if you were fair.,0,0,0,0,1,0
amh_train_track_a_00149,"Let me ask you to wait for some kind of greedy mother, but mother is biased.",0,0,0,1,0,0
amh_train_track_a_00150,We don&#39;t support you because you are a true racial liar and a liar.,1,1,0,0,0,0
amh_train_track_a_00151,"But the questioner is very slimy! As she said that she (Maryam) did not use a sieve, it was the neighbor who caught her. What&#39;s wrong with us?",0,1,0,0,0,0
amh_train_track_a_00152,"When he gets angry, I say that Ali is going to dig the soil and take it out.",1,0,0,0,0,0
amh_train_track_a_00153,Even Adu brought us together. May your peace be with us. May the creator of the broadcasters protect you,0,0,0,1,0,0
amh_train_track_a_00154,A story that is written as the age of the most amazing sleep and fear of the Muslim people,0,1,0,0,0,0
amh_train_track_a_00155,"You have an amazing memory, eloquent, please keep these and others in your memory for posterity.",0,0,0,1,0,1
amh_train_track_a_00156,"While it is good to mess up, forgetting that the Majlisu is in the colony of Amba Gardens, he thinks he will cry, Baba!",1,1,0,0,0,0
amh_train_track_a_00157,"Journalist Temesenge Dessalen surprised General Teferan Mamo&#39;s wife, Teme, when he went to his house in the morning to visit General Teferan Mamo. The writer Teme again d",0,0,0,0,0,1
amh_train_track_a_00158,He created a drama to save the lives of millions by instigating war. The owners of the war are TPLF and prosperity! Both want the war,0,1,0,0,1,0
amh_train_track_a_00159,"But what kind of demon is Abi? My wife is Amara, my mother is also Amara, my children are Amara, etc.",0,1,0,0,0,0
amh_train_track_a_00160,"Victory to the avengers, death to the invaders.",1,1,0,0,0,0
amh_train_track_a_00161,"FYI, is Orthodox Tewahdo TV provoking the people like this?",0,0,0,0,0,0
amh_train_track_a_00162,They are also the ombudsman for the innocent Amhara people who are suffering from the headache of prosperity.,0,0,0,1,0,0
amh_train_track_a_00163,People clashing with each other hurts the family and the country. The false poison that is sprayed to fulfill a personal mission must stop. It is good to realize that there is responsibility for the lives that are lost.,0,0,0,0,1,0
amh_train_track_a_00164,"How can a person be created without a neck and a neck? Come down, let&#39;s go down, they themselves, who used people, now suddenly stand up and pretend to be disciples of peace!",1,1,0,0,0,0
amh_train_track_a_00165,"I&#39;m sorry, may God heal your pain and give you all comfort.",0,0,0,0,1,0
amh_train_track_a_00166,"Fathers, what are you doing? Have you lost sight of the fact that we are entering a crisis of no return? why? why ?",0,0,0,0,1,0
amh_train_track_a_00167,A man&#39;s donkey means a thief like your fathers,1,1,0,0,0,0
amh_train_track_a_00168,I asked my wife to go to the gym to get rid of her belly. She said that she is building muscles.,0,1,0,0,0,0
amh_train_track_a_00169,North Korea says it has launched a military spy satellite after two failed tests,0,0,0,0,0,0
amh_train_track_a_00170,&quot;Bees are like people to those who approach them&quot; miracle master,0,0,0,0,0,0
amh_train_track_a_00171,"If the fire starts, it starts with you, man! It&#39;s best if you turn off the fan.",1,0,0,0,0,0
amh_train_track_a_00172,"The horrible killing of the ambulance and health workers in Kutabar was done by a drone. It is a drone, but if you report it as a heavy weapon, the credibility of your information will be doubted.",0,1,0,0,0,0
amh_train_track_a_00173,"First of all, it is Hamas that has launched an unexpected attack on a sovereign country, so I condemn it individually.",0,0,0,0,0,0
amh_train_track_a_00174,"Hamas will not disappear so easily. Because if we go back 20 days ago and think about it, Israel and Israel&#39;s henchmen were saying that we destroyed Hamas. But Hamas is not such an organization as she talks about. They have attacked Israel&#39;s intelligence and poor rocket defense, and they have attacked more than they want in Israel, and they will attack in the future. The Israeli government will abandon the people of the region and go to America. Israel and the Phil",1,0,0,0,0,0
amh_train_track_a_00175,"The story of the four-year-old Avegail, who was mentioned by Biden yesterday, is even more disturbing. Her parents were killed by Hamas, but she was kidnapped and released yesterday. The story of Avegail is horrible.",0,0,0,0,1,0
amh_train_track_a_00176,What do the Palestinians want from the historic Saudi-Israel deal?,0,0,0,0,0,0
amh_train_track_a_00177,"It is true that you are blessed, Potelika is an ignorant, rude parent who has done wrong",0,1,0,0,0,0
amh_train_track_a_00178,"It&#39;s so sad, I was so disappointed",0,0,0,0,1,0
amh_train_track_a_00179,"Respected elders of all religious leaders and famous Ethiopians, raise your voice and leave the government and the lunar synod! Do not hesitate!",1,0,0,0,0,0
amh_train_track_a_00180,"Glory be to our brave army, who sacrificed his irreplaceable life and is the guarantee that we will live.",0,1,0,1,0,0
amh_train_track_a_00181,You are the best father. Peace be upon you,0,0,0,1,0,0
amh_train_track_a_00182,She is very lucky. To surprise her alive is a blessing. May God bless her.,0,0,0,1,0,0
amh_train_track_a_00183,People are dying of hunger in North Korea,0,0,0,0,1,0
amh_train_track_a_00184,"Lord, don&#39;t make us the fulfillment of prophecy. If a parent does so much violence to a child, if she doesn&#39;t protect the child, if she doesn&#39;t pray for her children to hide my children from evil, it means that she has the abode of an evil spirit. She is a very intelligent girl. God help you, my son",0,0,0,0,1,0
amh_train_track_a_00185,"I wish the death of Dr. Israel Tilahun was silenced because he was an official. How long will the silence be? How long will the fear last while we see the innocent? Dark prosperity is a killer and a promoter of the beast system. If you don&#39;t wake up right now, the dragon is standing at the door of your house. Let&#39;s wake up, it is being done under the guise of Oromuma to spread the dark system",1,1,0,0,0,0
amh_train_track_a_00186,Gashe thought to think good and a book is good for oneself! He has no regrets for tomorrow and teaches people,0,0,0,0,0,0
amh_train_track_a_00187,Grammar: The New Age Ethiopian Music Forum,0,0,0,1,0,0
amh_train_track_a_00188,I think it&#39;s better if we don&#39;t use the innocent to fight.,0,0,0,0,0,0
amh_train_track_a_00189,"Oh, the crazy people of this age don&#39;t go crazy on their own, why do they try to make someone else crazy? Crazy people can do it for themselves. Don&#39;t try to post it on someone. 😁",1,1,0,0,0,0
amh_train_track_a_00190,"In this drama, we have seen the love of the country, the love of the family, the sacrifice of the love of the family, the sacrifice of the country&#39;s freedom above all else, the sacrifices that can be made for love.",0,0,0,1,0,0
amh_train_track_a_00191,A season of turmoil is good for vindictive pals. The police that you accused in peaceful times always tend to attack you with village secrets every time there is a security threat. A paliso from 4,1,1,0,0,0,0
amh_train_track_a_00192,"Sorry, I&#39;ll see you another day, I&#39;m leaving now. Have a nice stay!",0,0,0,0,0,0
amh_train_track_a_00193,"How many millions of deaths and displacement will teach you? Gosh, take it easy, in the 21st century, people are like leaves",1,0,0,0,1,0
amh_train_track_a_00194,And the terrorist who was wanted for a ten million reward suddenly became an angel and was chosen by the government?,0,1,0,0,0,1
amh_train_track_a_00195,"It is really surprising that this change of attitude and thinking is really on the politicians. It is true that nationalism, racism, and Ethiopianism cannot be more than nationalism, but the questions at the end are blurred and not answered satisfactorily. In general, the interview was surprising and invites others to stop and think. I am happy to see this interview. I am blessed.",0,0,0,1,0,1
